"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"229",5,"60605",10,2012,"60605",24972,58,18,17,5,58338,1560,33.1,3,3,0.78179659171762
"230",6,"60606",4,2012,"60606",2789,75,2,13,9,83005,1855,30.9,3,2,1.68560107818922
"231",7,"60607",10,2012,"60607",25134,53,16,19,8,50222,1303,30.6,3,3,0.484424507061864
"232",8,"60608",8,2012,"60608",78794,15,16,10,58,16542,636,31.3,3,5,-0.749618347941323
"233",9,"60609",34,2012,"60609",62773,17,28,4,49,14552,613,30.4,3,5,-0.822532400241095
"234",10,"60610",9,2012,"60610",38740,68,17,7,6,71176,1203,34.3,3,2,1.25218382961937
"235",11,"60611",18,2012,"60611",29722,75,4,15,4,107019,1549,39.5,3,2,2.56547949624286
"236",12,"60612",20,2012,"60612",36052,20,61,4,14,21407,767,30.6,3,5,-0.571363642193386
"237",13,"60613",8,2012,"60613",49536,76,6,6,10,55034,1066,31.5,3,2,0.660737280763626
"238",14,"60614",21,2012,"60614",68363,82,4,5,7,67585,1232,29.8,3,1,1.1206087734342
"239",15,"60615",10,2012,"60615",40745,25,60,7,5,32992,876,33.9,3,4,-0.146886609081393
"240",16,"60616",12,2012,"60616",49491,24,24,39,11,28052,819,35.8,3,4,-0.327889331875804
"241",17,"60617",28,2012,"60617",83435,7,54,0,37,18242,648,36.1,3,5,-0.687329961554582
"242",18,"60618",19,2012,"60618",97413,44,2,4,47,31862,873,32.9,3,3,-0.188290065914932
"243",19,"60619",25,2012,"60619",64922,1,97,0,1,19987,701,39.4,3,5,-0.623392764939958
"244",20,"60620",36,2012,"60620",73253,1,97,0,1,16347,721,38.2,3,5,-0.756763192262155
"245",21,"60621",27,2012,"60621",33608,1,96,0,1,11893,676,31.6,3,5,-0.919958764595415
"246",22,"60622",12,2012,"60622",54272,59,8,3,28,43393,988,31.1,3,3,0.234208394923599
"247",23,"60623",33,2012,"60623",85158,2,34,0,63,11463,611,27.8,3,5,-0.935714062328531
"248",24,"60624",31,2012,"60624",39283,2,95,0,2,11731,690,27.9,3,5,-0.925894481415798
"249",25,"60625",14,2012,"60625",78966,42,4,14,38,29124,855,33.4,3,3,-0.288611008224871
"250",26,"60626",14,2012,"60626",51061,42,25,7,23,24054,788,33,3,3,-0.474376960566503
"251",27,"60628",34,2012,"60628",71710,2,94,0,3,17025,748,37.5,3,5,-0.731921118162031
"252",28,"60629",34,2012,"60629",113833,9,23,1,67,14299,743,29.2,3,5,-0.831802377744534
"253",29,"60630",13,2012,"60630",57886,59,1,11,27,26705,866,38.1,3,3,-0.377243718030474
"254",30,"60631",3,2012,"60631",28899,84,1,2,12,35878,1022,43.7,3,1,-0.0411429131330798
"255",31,"60632",15,2012,"60632",90845,10,2,5,83,13596,672,29.3,3,5,-0.857560457526815
"256",32,"60633",1,2012,"60633",13474,32,25,1,42,20668,749,36.6,3,4,-0.598440770157975
"257",33,"60634",5,2012,"60634",72718,59,1,4,35,24269,849,38.9,3,3,-0.466499311699944
"258",34,"60636",33,2012,"60636",39918,1,94,0,3,11897,686,32.2,3,5,-0.919812203686269
"259",35,"60637",29,2012,"60637",48270,16,77,4,2,19746,753,30.7,3,5,-0.63222305971596
